product_id,item_name,stock_qty,base_price,notes
SUR-001,Nitrile Examination Gloves (Box of 100),480,349.00,"Nitrile, Powder-free, Latex-free, size M/L/XL"
SUR-002,Surgical Latex Gloves (Box of 50),210,289.00,"Latex, Powder-free, sterile, size 6.5-8.5"
SUR-003,Disposable Surgical Face Mask (Box of 50),620,199.00,"3-ply, BFE >=98%, elastic ear loop"
SUR-004,N95 Respirator Mask,340,45.00,"NIOSH-equivalent, 5-layer, foldable"
SUR-005,Skin Stapler (Disposable),95,650.00,"35W regular, single-use, sterile"
SUR-006,Surgical Sutures (Box of 12),150,780.00,"Polyglycolic acid, absorbable, 3-0 gauge"
SUR-007,Disposable Syringe 5ml (Box of 100),300,220.00,"Luer lock, single-use, sterile"
SUR-008,Disposable Syringe 10ml (Box of 100),275,260.00,"Luer lock, single-use, sterile"
SUR-009,IV Cannula 20G (Box of 50),180,540.00,"Winged, injection port, radiopaque"
SUR-010,Surgical Gown (Disposable),260,145.00,"SMS fabric, Level 2 protection, one-size"
SUR-011,Surgical Drape Sheet,190,95.00,"Non-woven, fluid-resistant, 150x180cm"
SUR-012,Absorbent Cotton Roll (500g),400,110.00,"100% cotton, high absorbency, sterile"
SUR-013,Elastic Crepe Bandage (10cm),350,55.00,"Cotton, high compression, reusable"
SUR-014,Adhesive Wound Dressing (Pack of 10),500,80.00,"Non-woven, breathable, hypoallergenic"
SUR-015,Digital Infrared Thermometer,120,899.00,"Non-contact, 1s reading, fever alarm"
SUR-016,Pulse Oximeter,140,650.00,"Fingertip, SpO2 + PR display, auto shutoff"
SUR-017,Disposable Scalpel Blade (Box of 100),160,410.00,"Carbon steel, sterile, size 11/15/22"
SUR-018,Surgical Scissors (Reusable),75,320.00,"Stainless steel, straight, 14cm"
SUR-019,Alcohol Swabs (Box of 100),430,60.00,"70% isopropyl alcohol, individually wrapped"
SUR-020,Disposable Shoe Cover (Pack of 100),290,150.00,"Non-woven, non-slip sole, elastic band"
SUR-021,"Surgical Cap (Disposable, Pack of 100)",310,130.00,"Non-woven, elastic edge, lint-free"
SUR-022,Blood Pressure Monitor (Digital),85,1450.00,"Upper arm cuff, automatic, memory 90 readings"
SUR-023,Urine Bag (2000ml),225,45.00,"Non-return valve, graduated, sterile"
SUR-024,Foley Catheter 16Fr (Box of 10),0,780.00,"2-way, silicone-coated latex, balloon 5-10ml"
SUR-025,Surgical Face Shield,140,95.00,"Anti-fog, adjustable strap, reusable"
